,1,1.1,1.2,1.3,1.4,1.5,1.6
0.4,2.317564485,2.318515443,2.319272517,2.319883749,2.320383663,2.320797379,2.321143432
0.45,2.261681071,2.2628823,2.26384116,2.264616947,2.26525255,2.265779323,2.266220489
0.5,2.222932789,2.224402982,2.225579631,2.226533621,2.227316567,2.227966386,2.228511268
0.55,2.193792574,2.19554919,2.196958788,2.198104045,2.199045574,2.19982813,2.200485114
0.6,2.170457566,2.172516645,2.174173357,2.17552223,2.176633064,2.177557666,2.178334854
0.65,2.150816789,2.15319286,2.155109784,2.156673854,2.157964151,2.159039686,2.159944861
0.7,2.133615554,2.136321595,2.138510723,2.140300769,2.141780092,2.143015003,2.14405561
0.75,2.118068697,2.121116104,2.123588295,2.125614271,2.127291574,2.128693845,2.12987698
0.8,2.103664955,2.107063524,2.109828487,2.112099503,2.113983114,2.115560259,2.116892662
0.85,2.09006096,2.093818869,2.096885141,2.099409451,2.101507059,2.103266109,2.104754151
0.9,2.077020507,2.081144298,2.084519229,2.08730421,2.089622852,2.091570346,2.093220024
0.95,2.064378145,2.068872708,2.07256244,2.075614577,2.078160621,2.080302593,2.082119517
1,2.052016496,2.056885051,2.060894495,2.064219362,2.066998494,2.06934046,2.071329844
1.05,2.03985166,2.045095741,2.049428558,2.053030798,2.056048002,2.058594947,2.060761598
1.1,2.027823565,2.033443,2.03810158,2.041984881,2.045244422,2.048000782,2.050349089
1.15,2.015889425,2.02188232,2.026867758,2.031034832,2.034540236,2.037509883,2.0400438
1.2,2.004019207,2.010381936,2.015694007,2.020146567,2.023900599,2.027086822,2.029809853
1.25,1.992192451,1.998919638,2.004556774,2.009295509,2.01330015,2.016705636,2.019620821
1.3,1.980395973,1.987480488,1.993439756,1.998464305,2.002720729,2.006347542,2.009457436
1.35,1.968622214,1.976055164,1.982332245,1.987641169,1.992149716,1.995999273,1.99930593
1.4,1.956868012,1.964638746,1.971227912,1.976818669,1.98157882,1.985651869,1.989156818
1.45,1.945133691,1.953229806,1.960123904,1.965992823,1.971003171,1.975299764,1.979003986
1.5,1.933422376,1.941829736,1.949020172,1.955162425,1.960420647,1.964940112,1.96884402
1.55,1.921739464,1.930442225,1.937918958,1.944328535,1.949831366,1.954572281,1.958675687
1.6,1.910092213,1.919072869,1.926824402,1.933494094,1.939237294,1.944197457,1.948499552
1.65,1.898489413,1.907728851,1.915742243,1.92266362,1.928641951,1.933818352,1.938317674
1.7,1.886941114,1.896418696,1.904679577,1.911842977,1.918050177,1.923438967,1.928133375
1.75,1.875458392,1.885152053,1.893644658,1.901039185,1.907467948,1.913064417,1.91795106
1.8,1.864053139,1.873939517,1.882646734,1.890260263,1.896902226,1.902700776,1.90777607
1.85,1.852737865,1.862792456,1.871695897,1.879515096,1.886360831,1.89235496,1.89761456
1.9,1.841525505,1.851722848,1.860802943,1.868813308,1.87585233,1.882034615,1.887473399
1.95,1.830429219,1.840743115,1.849979235,1.858165147,1.865385927,1.871748023,1.877360073
2,1.819462197,1.829865954,1.839236555,1.847581359,1.854971358,1.861504005,1.867282601
